2017-02-12 23:33:35,225 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2009-0.csv
2017-02-12 23:33:35,226 - ___log_ - INFO - Start loading; 2009-0
2017-02-12 23:34:10,859 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2010-0.csv
2017-02-12 23:34:10,860 - ___log_ - INFO - Start loading; 2010-0
2017-02-12 23:34:22,895 - ___log_ - INFO - Doing regression 0.00; 2009-0
2017-02-12 23:34:27,909 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2011-0.csv
2017-02-12 23:34:27,909 - ___log_ - INFO - Start loading; 2011-0
2017-02-12 23:34:28,123 - ___log_ - INFO - Doing regression 0.10; 2009-0
2017-02-12 23:34:40,479 - ___log_ - INFO - Doing regression 0.20; 2009-0
2017-02-12 23:34:46,449 - ___log_ - INFO - Doing regression 0.29; 2009-0
2017-02-12 23:34:47,665 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2012-0.csv
2017-02-12 23:34:47,666 - ___log_ - INFO - Start loading; 2012-0
2017-02-12 23:34:53,505 - ___log_ - INFO - Doing regression 0.39; 2009-0
2017-02-12 23:35:01,423 - ___log_ - INFO - Doing regression 0.00; 2010-0
2017-02-12 23:35:03,731 - ___log_ - INFO - Doing regression 0.00; 2011-0
2017-02-12 23:35:03,836 - ___log_ - INFO - Doing regression 0.49; 2009-0
2017-02-12 23:35:09,162 - ___log_ - INFO - Doing regression 0.10; 2011-0
2017-02-12 23:35:12,912 - ___log_ - INFO - Doing regression 0.09; 2010-0
2017-02-12 23:35:14,230 - ___log_ - INFO - Doing regression 0.20; 2011-0
2017-02-12 23:35:14,775 - ___log_ - INFO - Doing regression 0.59; 2009-0
2017-02-12 23:35:19,869 - ___log_ - INFO - Doing regression 0.19; 2010-0
2017-02-12 23:35:19,982 - ___log_ - INFO - Doing regression 0.31; 2011-0
2017-02-12 23:35:24,269 - ___log_ - INFO - Doing regression 0.69; 2009-0
2017-02-12 23:35:25,667 - ___log_ - INFO - Doing regression 0.41; 2011-0
2017-02-12 23:35:27,813 - ___log_ - INFO - Doing regression 0.00; 2012-0
2017-02-12 23:35:28,454 - ___log_ - INFO - Doing regression 0.28; 2010-0
2017-02-12 23:35:31,669 - ___log_ - INFO - Doing regression 0.51; 2011-0
2017-02-12 23:35:33,320 - ___log_ - INFO - Doing regression 0.10; 2012-0
2017-02-12 23:35:33,411 - ___log_ - INFO - Doing regression 0.78; 2009-0
2017-02-12 23:35:35,109 - ___log_ - INFO - Doing regression 0.37; 2010-0
2017-02-12 23:35:36,429 - ___log_ - INFO - Doing regression 0.61; 2011-0
2017-02-12 23:35:39,035 - ___log_ - INFO - Doing regression 0.21; 2012-0
2017-02-12 23:35:41,390 - ___log_ - INFO - Doing regression 0.71; 2011-0
2017-02-12 23:35:44,036 - ___log_ - INFO - Doing regression 0.88; 2009-0
2017-02-12 23:35:45,002 - ___log_ - INFO - Doing regression 0.31; 2012-0
2017-02-12 23:35:45,889 - ___log_ - INFO - Doing regression 0.47; 2010-0
2017-02-12 23:35:48,966 - ___log_ - INFO - Doing regression 0.82; 2011-0
2017-02-12 23:35:50,199 - ___log_ - INFO - Doing regression 0.56; 2010-0
2017-02-12 23:35:51,032 - ___log_ - INFO - Doing regression 0.41; 2012-0
2017-02-12 23:35:51,793 - ___log_ - INFO - Doing regression 0.98; 2009-0
2017-02-12 23:35:55,764 - ___log_ - INFO - Doing regression 0.92; 2011-0
2017-02-12 23:35:56,682 - ___log_ - INFO - Start pickling; 2009-0
2017-02-12 23:35:57,023 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2009-1.csv
2017-02-12 23:35:57,024 - ___log_ - INFO - Start loading; 2009-1
2017-02-12 23:35:58,964 - ___log_ - INFO - Doing regression 0.52; 2012-0
2017-02-12 23:35:59,723 - ___log_ - INFO - Start pickling; 2011-0
2017-02-12 23:35:59,886 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2011-1.csv
2017-02-12 23:35:59,886 - ___log_ - INFO - Start loading; 2011-1
2017-02-12 23:35:59,933 - ___log_ - INFO - Doing regression 0.65; 2010-0
2017-02-12 23:36:04,794 - ___log_ - INFO - Doing regression 0.62; 2012-0
2017-02-12 23:36:05,996 - ___log_ - INFO - Doing regression 0.75; 2010-0
2017-02-12 23:36:10,189 - ___log_ - INFO - Doing regression 0.72; 2012-0
2017-02-12 23:36:11,839 - ___log_ - INFO - Doing regression 0.84; 2010-0
